Vin_A,Vin_B,Vin_C,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
1.0,1.0,0.0,106.23708058989943,1.018590355415198,4.8715394872417416e-08,2.541469133164205e-07,1.2689028604574331e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.3524042817393312e-08,3.3042221098708337e+18,1.2763598121163971e-09,1.247050519734021e-09,1.3322030779914747e-09,9.686016033879484e-10,1.4423567059924332e-08,2.356263487521861e+18,4.975336611169571e-08
1.0,1.0,1.0,106.23708058989943,1.018590355415198,4.8715394872417416e-08,2.541469133164205e-07,1.2689028604574331e-09,1.2368506743696716e-09,1.2776114414184358e-09,9.885236353521978e-10,1.3524042817393312e-08,3.3042221098708337e+18,1.2763598121163971e-09,1.247050519734021e-09,1.3322030779914747e-09,9.686016033879484e-10,1.4423567059924332e-08,2.356263487521861e+18,2.507139053834162e-07
0.0,0.0,0.0,78.64052841711373,0.9667276961912749,4.742815678711131e-08,2.518000002025089e-07,1.192485409118087e-09,1.212046376131896e-09,1.264951304603864e-09,9.47998546617886e-10,1.4715578504499636e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730743e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18,6.258968787004209e-09
0.0,0.0,1.0,78.64052841711373,0.9667276961912749,4.742815678711131e-08,2.518000002025089e-07,1.192485409118087e-09,1.212046376131896e-09,1.264951304603864e-09,9.47998546617886e-10,1.4715578504499636e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730743e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18,1.1247364853700961e-08
0.0,1.0,0.0,78.64052841711373,0.9667276961912749,4.742815678711131e-08,2.518000002025089e-07,1.192485409118087e-09,1.212046376131896e-09,1.264951304603864e-09,9.47998546617886e-10,1.4715578504499636e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730743e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18,1.0254741870508447e-08
0.0,1.0,1.0,78.64052841711373,0.9667276961912749,4.742815678711131e-08,2.518000002025089e-07,1.192485409118087e-09,1.212046376131896e-09,1.264951304603864e-09,9.47998546617886e-10,1.4715578504499636e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730743e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18,5.7808688791410105e-08
1.0,0.0,0.0,78.64052841711373,0.9667276961912749,4.742815678711131e-08,2.518000002025089e-07,1.192485409118087e-09,1.212046376131896e-09,1.264951304603864e-09,9.47998546617886e-10,1.4715578504499636e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730743e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18,1.0659155516001094e-08
1.0,0.0,1.0,78.64052841711373,0.9667276961912749,4.742815678711131e-08,2.518000002025089e-07,1.192485409118087e-09,1.212046376131896e-09,1.264951304603864e-09,9.47998546617886e-10,1.4715578504499636e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730743e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18,3.675992954224071e-08
1.0,1.0,0.0,78.64052841711373,0.9667276961912749,4.742815678711131e-08,2.518000002025089e-07,1.192485409118087e-09,1.212046376131896e-09,1.264951304603864e-09,9.47998546617886e-10,1.4715578504499636e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730743e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18,3.442520241423959e-08
1.0,1.0,1.0,78.64052841711373,0.9667276961912749,4.742815678711131e-08,2.518000002025089e-07,1.192485409118087e-09,1.212046376131896e-09,1.264951304603864e-09,9.47998546617886e-10,1.4715578504499636e-08,3.2321928571651154e+18,1.2712908029240395e-09,1.3056139937730743e-09,1.290028764115404e-09,1.0324053208209722e-09,1.4423622138273818e-08,2.2510764228963471e+18,1.8116314870648607e-07
0.0,0.0,0.0,97.16663016566308,1.0784664580513137,4.4335843802886874e-08,2.480995276484163e-07,1.192257251841518e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015429e-08,3.293525030497375e+18,1.2984985628162131e-09,1.255980244385676e-09,1.2528566130749895e-09,9.542774870278591e-10,1.2667896379793628e-08,2.404724576811896e+18,3.6160189618725748e-09
0.0,0.0,1.0,97.16663016566308,1.0784664580513137,4.4335843802886874e-08,2.480995276484163e-07,1.192257251841518e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015429e-08,3.293525030497375e+18,1.2984985628162131e-09,1.255980244385676e-09,1.2528566130749895e-09,9.542774870278591e-10,1.2667896379793628e-08,2.404724576811896e+18,9.538834704419256e-09
0.0,1.0,0.0,97.16663016566308,1.0784664580513137,4.4335843802886874e-08,2.480995276484163e-07,1.192257251841518e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015429e-08,3.293525030497375e+18,1.2984985628162131e-09,1.255980244385676e-09,1.2528566130749895e-09,9.542774870278591e-10,1.2667896379793628e-08,2.404724576811896e+18,8.195530146446524e-09
0.0,1.0,1.0,97.16663016566308,1.0784664580513137,4.4335843802886874e-08,2.480995276484163e-07,1.192257251841518e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015429e-08,3.293525030497375e+18,1.2984985628162131e-09,1.255980244385676e-09,1.2528566130749895e-09,9.542774870278591e-10,1.2667896379793628e-08,2.404724576811896e+18,2.2807855945647829e-07
1.0,0.0,0.0,97.16663016566308,1.0784664580513137,4.4335843802886874e-08,2.480995276484163e-07,1.192257251841518e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015429e-08,3.293525030497375e+18,1.2984985628162131e-09,1.255980244385676e-09,1.2528566130749895e-09,9.542774870278591e-10,1.2667896379793628e-08,2.404724576811896e+18,8.389911093963872e-09
1.0,0.0,1.0,97.16663016566308,1.0784664580513137,4.4335843802886874e-08,2.480995276484163e-07,1.192257251841518e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015429e-08,3.293525030497375e+18,1.2984985628162131e-09,1.255980244385676e-09,1.2528566130749895e-09,9.542774870278591e-10,1.2667896379793628e-08,2.404724576811896e+18,9.500978115621683e-08
1.0,1.0,0.0,97.16663016566308,1.0784664580513137,4.4335843802886874e-08,2.480995276484163e-07,1.192257251841518e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015429e-08,3.293525030497375e+18,1.2984985628162131e-09,1.255980244385676e-09,1.2528566130749895e-09,9.542774870278591e-10,1.2667896379793628e-08,2.404724576811896e+18,8.42462033260881e-08
1.0,1.0,1.0,97.16663016566308,1.0784664580513137,4.4335843802886874e-08,2.480995276484163e-07,1.192257251841518e-09,1.207501408186172e-09,1.2971355233429287e-09,1.027112156986623e-09,1.4244669123015429e-08,3.293525030497375e+18,1.2984985628162131e-09,1.255980244385676e-09,1.2528566130749895e-09,9.542774870278591e-10,1.2667896379793628e-08,2.404724576811896e+18,2.0893045529221926e-07
0.0,0.0,0.0,89.82506769226336,1.079020917447139,4.555400493276103e-08,2.600516975739193e-07,1.2312248637319072e-09,1.270021994810422e-09,1.2924870569439859e-09,1.0217154844958656e-09,1.3871668872064184e-08,3.418381936406849e+18,1.2784534664902495e-09,1.3123254261697806e-09,1.2994078069237971e-09,9.835426391832608e-10,1.4217269130270998e-08,2.419857923414266e+18,3.4863378702331115e-09
0.0,0.0,1.0,89.82506769226336,1.079020917447139,4.555400493276103e-08,2.600516975739193e-07,1.2312248637319072e-09,1.270021994810422e-09,1.2924870569439859e-09,1.0217154844958656e-09,1.3871668872064184e-08,3.418381936406849e+18,1.2784534664902495e-09,1.3123254261697806e-09,1.2994078069237971e-09,9.835426391832608e-10,1.4217269130270998e-08,2.419857923414266e+18,8.61027139577637e-09
