Vin_A,Vin_B,Vin_C,TEMP,pvdd,Lmin,Wmin,toxe_n,toxm_n,toxref_n,toxp_n,xj_n,ndep_n,toxe_p,toxm_p,toxref_p,toxp_p,xj_p,ndep_p,Leakage_power
1.0,1.0,1.0,97.16663016566308,0.9281999272020192,3.4574807725859754e-08,2.424456014528351e-07,7.744802348003443e-10,7.700248307427378e-10,7.549456300859493e-10,5.215146238075686e-10,1.0248188983241092e-08,8.864449690501575e+18,7.699392789956917e-10,7.164770011339864e-10,7.935312722505227e-10,5.02231295917975e-10,9.826954196824184e-09,3.561257350842494e+18,6.485513729945956e-06
0.0,0.0,0.0,89.82506769226336,0.8797524231398022,3.497384356664252e-08,2.3304680571440926e-07,7.39903988861387e-10,7.441341283292006e-10,7.31495885071202e-10,5.2028354996885e-10,1.0009661180282269e-08,9.022247087298296e+18,7.720971704326972e-10,7.4994779945541e-10,7.577045968638057e-10,4.911057311936845e-10,9.420030039226517e-09,3.3820243163606323e+18,6.593860929982007e-07
0.0,0.0,1.0,89.82506769226336,0.8797524231398022,3.497384356664252e-08,2.3304680571440926e-07,7.39903988861387e-10,7.441341283292006e-10,7.31495885071202e-10,5.2028354996885e-10,1.0009661180282269e-08,9.022247087298296e+18,7.720971704326972e-10,7.4994779945541e-10,7.577045968638057e-10,4.911057311936845e-10,9.420030039226517e-09,3.3820243163606323e+18,1.1010115173507789e-06
0.0,1.0,0.0,89.82506769226336,0.8797524231398022,3.497384356664252e-08,2.3304680571440926e-07,7.39903988861387e-10,7.441341283292006e-10,7.31495885071202e-10,5.2028354996885e-10,1.0009661180282269e-08,9.022247087298296e+18,7.720971704326972e-10,7.4994779945541e-10,7.577045968638057e-10,4.911057311936845e-10,9.420030039226517e-09,3.3820243163606323e+18,8.047806140881417e-07
0.0,1.0,1.0,89.82506769226336,0.8797524231398022,3.497384356664252e-08,2.3304680571440926e-07,7.39903988861387e-10,7.441341283292006e-10,7.31495885071202e-10,5.2028354996885e-10,1.0009661180282269e-08,9.022247087298296e+18,7.720971704326972e-10,7.4994779945541e-10,7.577045968638057e-10,4.911057311936845e-10,9.420030039226517e-09,3.3820243163606323e+18,2.288194720364198e-06
1.0,0.0,0.0,89.82506769226336,0.8797524231398022,3.497384356664252e-08,2.3304680571440926e-07,7.39903988861387e-10,7.441341283292006e-10,7.31495885071202e-10,5.2028354996885e-10,1.0009661180282269e-08,9.022247087298296e+18,7.720971704326972e-10,7.4994779945541e-10,7.577045968638057e-10,4.911057311936845e-10,9.420030039226517e-09,3.3820243163606323e+18,7.366554409721925e-07
1.0,0.0,1.0,89.82506769226336,0.8797524231398022,3.497384356664252e-08,2.3304680571440926e-07,7.39903988861387e-10,7.441341283292006e-10,7.31495885071202e-10,5.2028354996885e-10,1.0009661180282269e-08,9.022247087298296e+18,7.720971704326972e-10,7.4994779945541e-10,7.577045968638057e-10,4.911057311936845e-10,9.420030039226517e-09,3.3820243163606323e+18,1.6168790168345975e-06
1.0,1.0,0.0,89.82506769226336,0.8797524231398022,3.497384356664252e-08,2.3304680571440926e-07,7.39903988861387e-10,7.441341283292006e-10,7.31495885071202e-10,5.2028354996885e-10,1.0009661180282269e-08,9.022247087298296e+18,7.720971704326972e-10,7.4994779945541e-10,7.577045968638057e-10,4.911057311936845e-10,9.420030039226517e-09,3.3820243163606323e+18,1.0772030225914558e-06
1.0,1.0,1.0,89.82506769226336,0.8797524231398022,3.497384356664252e-08,2.3304680571440926e-07,7.39903988861387e-10,7.441341283292006e-10,7.31495885071202e-10,5.2028354996885e-10,1.0009661180282269e-08,9.022247087298296e+18,7.720971704326972e-10,7.4994779945541e-10,7.577045968638057e-10,4.911057311936845e-10,9.420030039226517e-09,3.3820243163606323e+18,4.73832453332633e-06
0.0,0.0,0.0,-31.238427342955447,0.9501554585977992,3.4311050259537305e-08,2.367861135152868e-07,7.479212797187954e-10,7.715509920656958e-10,7.598086244576594e-10,4.889219045055644e-10,9.588124756955344e-09,8.729798038677341e+18,7.863641889144021e-10,8.016033013072327e-10,7.972907235920332e-10,5.10865501204053e-10,1.0022263737636412e-08,3.553444035853378e+18,3.8812490710704826e-07
0.0,0.0,1.0,-31.238427342955447,0.9501554585977992,3.4311050259537305e-08,2.367861135152868e-07,7.479212797187954e-10,7.715509920656958e-10,7.598086244576594e-10,4.889219045055644e-10,9.588124756955344e-09,8.729798038677341e+18,7.863641889144021e-10,8.016033013072327e-10,7.972907235920332e-10,5.10865501204053e-10,1.0022263737636412e-08,3.553444035853378e+18,8.811140081230914e-07
0.0,1.0,0.0,-31.238427342955447,0.9501554585977992,3.4311050259537305e-08,2.367861135152868e-07,7.479212797187954e-10,7.715509920656958e-10,7.598086244576594e-10,4.889219045055644e-10,9.588124756955344e-09,8.729798038677341e+18,7.863641889144021e-10,8.016033013072327e-10,7.972907235920332e-10,5.10865501204053e-10,1.0022263737636412e-08,3.553444035853378e+18,4.847786290974476e-07
0.0,1.0,1.0,-31.238427342955447,0.9501554585977992,3.4311050259537305e-08,2.367861135152868e-07,7.479212797187954e-10,7.715509920656958e-10,7.598086244576594e-10,4.889219045055644e-10,9.588124756955344e-09,8.729798038677341e+18,7.863641889144021e-10,8.016033013072327e-10,7.972907235920332e-10,5.10865501204053e-10,1.0022263737636412e-08,3.553444035853378e+18,1.8223514004360028e-06
1.0,0.0,0.0,-31.238427342955447,0.9501554585977992,3.4311050259537305e-08,2.367861135152868e-07,7.479212797187954e-10,7.715509920656958e-10,7.598086244576594e-10,4.889219045055644e-10,9.588124756955344e-09,8.729798038677341e+18,7.863641889144021e-10,8.016033013072327e-10,7.972907235920332e-10,5.10865501204053e-10,1.0022263737636412e-08,3.553444035853378e+18,3.900635519872551e-07
1.0,0.0,1.0,-31.238427342955447,0.9501554585977992,3.4311050259537305e-08,2.367861135152868e-07,7.479212797187954e-10,7.715509920656958e-10,7.598086244576594e-10,4.889219045055644e-10,9.588124756955344e-09,8.729798038677341e+18,7.863641889144021e-10,8.016033013072327e-10,7.972907235920332e-10,5.10865501204053e-10,1.0022263737636412e-08,3.553444035853378e+18,1.0721988819663985e-06
1.0,1.0,0.0,-31.238427342955447,0.9501554585977992,3.4311050259537305e-08,2.367861135152868e-07,7.479212797187954e-10,7.715509920656958e-10,7.598086244576594e-10,4.889219045055644e-10,9.588124756955344e-09,8.729798038677341e+18,7.863641889144021e-10,8.016033013072327e-10,7.972907235920332e-10,5.10865501204053e-10,1.0022263737636412e-08,3.553444035853378e+18,4.1536022175948647e-07
1.0,1.0,1.0,-31.238427342955447,0.9501554585977992,3.4311050259537305e-08,2.367861135152868e-07,7.479212797187954e-10,7.715509920656958e-10,7.598086244576594e-10,4.889219045055644e-10,9.588124756955344e-09,8.729798038677341e+18,7.863641889144021e-10,8.016033013072327e-10,7.972907235920332e-10,5.10865501204053e-10,1.0022263737636412e-08,3.553444035853378e+18,3.3322174159832767e-06
